Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,usitata,usitata,Doane,1901, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,perlongipes, ,Johnson,1909, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,trivittata,trivittata,Say,1823, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,translucida, ,Doane,1901, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,fuliginosa, ,Say,1823, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,colei, ,Alexander,1942, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,pseudotruncorum, ,Alexander,1920, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Insect Collection 238981,Insecta,Diptera, , ,Tipulidae, , ,Tipula,Lunatipula,mallochi, ,Alexander,1920,United States,Illinois,Union,Alto Pass, , ,37.57028,-89.3175, ,10000,06/05/1919, ,J.R. Malloch, , ,C.P. Alexander, ,Holotype,Tipula mallochi Alexander,1, , , , , , , ,Pin,5/23/2007 12:00:00 AM,4/9/2008 12:00:00 AM
Insect Collection 238982,Insecta,Diptera, , ,Tipulidae, , ,Tipula,Lunatipula,mallochi, ,Alexander,1920,United States,Illinois,Union,Alto Pass, , ,37.57028,-89.3175, ,10000,06/05/1919, ,J.R. Malloch, , ,C.P. Alexander, ,Allotype,Tipula mallochi Alexander, ,1, , , , , , ,Pin,5/23/2007 12:00:00 AM,4/9/2008 12:00:00 AM
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,youngi, ,Alexander,1927, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,hermannia, ,Alexander,1915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,angulata,angulata,Loew,1864, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,caloptera, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,latipennis, ,Loew,1864, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Insect Collection 658615,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Moultrie,4.8 km SW Hammond at 2500N, ,West Okaw River,39.76857,-88.63456, ,10,06/21/2016, ,"E. J. South, R. E. DeWalt", ,Stream,E. J. South,2017, , , , , , , ,1, , ,Vial,12/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM
Insect Collection 658673,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Shelby,3.3 km WSW Lakewood at 1100E, ,tributary to Mitchell Creek,39.31557,-88.93636, ,10,06/22/2016, ,"E.J. South, R.E. DeWalt", ,Stream,E. J. South,2017, , , , , , , ,1, , ,Vial,12/17/2018 12:00:00 AM,12/18/2018 12:00:00 AM
Insect Collection 3515,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Cook,"Camp Sagawau, 7.5 km NE Lemont at quarry","Camp Sagawau, Cook County Forest Preserve",Camp Sagawau Quary,41.6877,-87.9139, ,1000,08/29/2001, ,R.E. DeWalt, , ,R.E. DeWalt,2001, , , , ,3,2, , , , ,Vial,12/12/2001 12:00:00 AM,2/3/2015 12:00:00 AM
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,disjuncta, ,Walker,1856, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,eluta, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,stonei, ,Alexander,1965, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,strepens, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, , ,Tipulidae, , ,Tipula, ,parshleyi, ,Alexander,1915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
