Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Trichoptera 33766,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, , , , , ,United States,Oregon,Malheur,Juntura, , ,43.74472,-118.07861, ,10000,08/25/1944, ,G.F. Knowlton, , , , , , , , , , , ,1, , ,Vial,1/23/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32896,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,cockerelli, ,N Banks,1905,United States,Idaho,Franklin,"Bear R., Highway 81, Preston", , , , , , ,08/12/1954, ,"A.R. Gaufin, H.H. Ross", , , , , , ,5, , , , , , , ,Vial,1/11/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32909,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Ceratopsyche,cockerelli, ,N Banks,1905,United States,Colorado,Grand,Granby, ,Fraser River,40.0844,-105.9538, ,1000,07/24/1938, ,"H.H. Ross, J.A. Ross", , , , , , ,1, , , , , , , ,Vial,1/11/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Insect Collection 32862,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,McHenry,1.5 km N Marengo, ,Kishwaukee River,42.26547,-88.60835, ,1000,07/14/2000, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2001, , , , ,1, , , , , ,Vial,11/29/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32831,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,McHenry,1.5 km N Marengo, ,Kishwaukee River,42.26547,-88.60835, ,1000,07/14/2000, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,2, , , , , ,Vial,11/29/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32834,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,frisoni, ,HH Ross,1938,United States,Illinois,McHenry,1.5 km N Marengo, ,Kishwaukee River,42.26547,-88.60835, ,1000,07/14/2000, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,8, , , , , ,Vial,11/29/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Insect Collection 32842,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Illinois,McHenry,1.5 km N Marengo, ,Kishwaukee River,42.26547,-88.60835, ,1000,07/14/2000, ,R.E. DeWalt,Dip net,Stream margin,R.E. DeWalt,2000, , , , ,30, , , , , ,Vial,11/29/2003 12:00:00 AM,2/3/2015 12:00:00 AM
Trichoptera 32661,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Missouri,Wayne,Williamsville, , ,36.97111,-91.54944, ,1000,09/05/1948, ,E.C. Becker, , , , , , , ,15, , , , , , ,Vial,1/19/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32647,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Missouri,Wayne,Williamsville, , ,36.97111,-91.54944, ,1000,08/30/1948, ,E.C. Becker, , , , , , , ,3, , , , , , ,Vial,1/18/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32648,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Missouri,Wayne,Williamsville, , ,36.97111,-91.54944, ,1000,09/07/1948, ,E.C. Becker, , , , , , , ,4, , , , , , ,Vial,1/18/2000 12:00:00 AM,3/29/2012 12:00:00 AM
